Date Time,Open,High,Low,Close,Volume,,,
2008-06-11 15:30:00,4475,4550,4452.65,4496.4,15945050,,,
2008-06-12 15:30:00,4385.2,4536.8,4375.05,4517.3,19241525,,,
2008-06-13 15:30:00,4499,4519,4456.05,4484.8,14873425,,,
2008-06-16 15:30:00,4555.3,4610,4548.05,4571.3,13695325,,,
2008-06-17 15:30:00,4571,4647.5,4553.1,4634.7,13219825,,,
2008-06-18 15:30:00,4651,4658,4556,4564.85,14766125,,,
2008-06-19 15:30:00,4511.25,4524,4465.55,4487.5,13305175,,,
2008-06-20 15:30:00,4512,4516.9,4316,4335.3,19071675,,,
2008-06-23 15:30:00,4325,4390.5,4224,4267.65,21239000,,,
2008-06-24 15:30:00,4281,4310.1,4130,4171.95,19397050,,,
2008-06-25 15:30:00,4105,4262,4093.65,4245,21388275,,,
2008-06-26 15:30:00,4261,4318.3,4225.25,4308.45,16161575,,,
2008-06-27 15:30:00,4136.35,4178.5,4060,4078.55,19638150,,,
2008-06-30 15:30:00,4078.8,4108.9,3959,3972.75,14699900,,,
2008-07-01 15:30:00,3977,4037.7,3810,3832.55,19905850,,,
2008-07-02 15:30:00,3835.3,4079,3818.1,4064.25,25184725,,,
2008-07-03 15:30:00,4003.45,4020,3815,3879.6,24801650,,,
2008-07-04 15:30:00,3886,3994.95,3858,3979.05,19401800,,,
2008-07-07 15:30:00,3992.2,4076.9,3958.2,3980.5,16349325,,,
2008-07-08 15:30:00,3869,3957,3841.1,3926.5,17890450,,,
2008-07-09 15:30:00,4044,4149,4041,4137.9,20611550,,,
2008-07-10 15:30:00,4125,4164.2,4086,4146.15,13710150,,,
2008-07-11 15:30:00,4164,4192,3981,4021.2,22687700,,,
2008-07-14 15:30:00,4009.8,4111.8,3991.25,4027.3,16861750,,,
2008-07-15 15:30:00,3915,3940,3793.3,3828.9,18189925,,,
2008-07-16 15:30:00,3835.5,3901.7,3761,3803.35,18802125,,,
2008-07-17 15:30:00,3948,3960,3856.4,3925.65,19956525,,,
2008-07-18 15:30:00,3951.1,4101,3907,4077.65,20705325,,,
2008-07-21 15:30:00,4134,4174.5,4066.1,4165.1,16293275,,,
2008-07-22 15:30:00,4131.65,4275.7,4131.65,4249.95,18577950,,,
2008-07-23 15:30:00,4436.55,4505,4387.3,4490.7,20311650,,,
2008-07-24 15:30:00,4520,4537.8,4395.05,4443.1,17699025,,,
2008-07-25 15:30:00,4347.7,4392,4310.5,4329.65,16292125,,,
2008-07-28 15:30:00,4305.55,4364.75,4305.55,4337.15,12831850,,,
2008-07-29 15:30:00,4289,4289,4162.1,4198.9,17864200,,,
2008-07-30 15:30:00,4242.15,4338.4,4237.35,4326.4,11939000,,,
2008-07-31 15:30:00,4323.8,4346.8,4285.3,4332.05,10839375,,,
2008-08-01 15:30:00,4270,4441.95,4252,4432.85,15118225,,,
2008-08-04 15:30:00,4402,4448,4362.1,4405.45,14312400,,,
2008-08-05 15:30:00,4379.9,4539.9,4370,4527.95,17269250,,,
2008-08-06 15:30:00,4624.8,4629.85,4509,4526,18704675,,,
2008-08-07 15:30:00,4490,4599,4485,4531.6,16962150,,,
2008-08-08 15:30:00,4520,4564.2,4471,4547.45,16266625,,,
2008-08-11 15:30:00,4610,4642,4588.05,4633.6,12255450,,,
2008-08-12 15:30:00,4644,4654,4535,4560.45,18208375,,,
2008-08-13 15:30:00,4511.6,4588.8,4505.25,4550.7,14459750,,,
2008-08-14 15:30:00,4511.25,4523.9,4425.6,4437.05,15851075,,,
2008-08-18 15:30:00,4418,4458.8,4392.1,4409.25,11961775,,,
2008-08-19 15:30:00,4364.9,4411.9,4331,4390.05,12756900,,,
2008-08-20 15:30:00,4420,4454.5,4396.4,4435.7,10765800,,,
2008-08-21 15:30:00,4405.2,4408.7,4270.8,4287.1,15874775,,,
2008-08-22 15:30:00,4265,4338,4252.35,4324.1,12870000,,,
2008-08-25 15:30:00,4386,4395,4327.25,4337,11227000,,,
2008-08-26 15:30:00,4308.8,4359.75,4290,4350.25,12409275,,,
2008-08-27 15:30:00,4366.4,4366.4,4281.05,4290.9,10829975,,,
2008-08-28 15:30:00,4292.1,4301.7,4208.1,4218.2,11645375,,,
2008-08-29 15:30:00,4291,4379.9,4283,4370.55,15646550,,,
2008-09-01 15:30:00,4311.25,4367,4275,4350.4,13491000,,,
2008-09-02 15:30:00,4350,4544,4350,4516.8,20315050,,,
2008-09-04 15:30:00,4462,4494,4420,4456.05,15876825,,,
2008-09-05 15:30:00,4360,4397,4326.1,4366.2,14701150,,,
2008-09-08 15:30:00,4542.55,4564.1,4498.1,4506.5,13544600,,,
2008-09-09 15:30:00,4448.4,4525,4440,4489.05,13946700,,,
2008-09-10 15:30:00,4445,4493,4397.7,4417.25,17096225,,,
2008-09-11 15:30:00,4350,4371.75,4286.6,4304.45,15399875,,,
2008-09-12 15:30:00,4345.1,4345.1,4216,4245.8,19466925,,,
2008-09-15 15:30:00,4092.5,4099.9,3957.55,4068.9,21051800,,,
2008-09-16 15:30:00,3945,4099,3930,4091.15,19548525,,,
2008-09-17 15:30:00,4094.7,4099,3980.1,4009.75,20768750,,,
2008-09-18 15:30:00,3835.55,4073,3812,4044.5,27012300,,,
2008-09-19 15:30:00,4248.8,4289.85,4142.6,4272.95,22693300,,,
2008-09-22 15:30:00,4306,4325,4216.5,4235.9,16127725,,,
2008-09-23 15:30:00,4157.9,4243.95,4132.65,4143.35,18841175,,,
2008-09-24 15:30:00,4160.25,4228.8,4143.25,4179.95,16134000,,,
2008-09-25 15:30:00,4174,4175,4077.2,4115.35,14279275,,,
2008-09-26 15:30:00,4108.9,4108.9,3980.1,3998.15,15985900,,,
2008-09-29 15:30:00,3989.8,3998.7,3775,3859.4,22013550,,,
2008-09-30 15:30:00,3772.9,3985,3772.9,3927.35,21937275,,,
2008-10-01 15:30:00,3939,4016.5,3862,3966.85,16729850,,,
2008-10-03 15:30:00,3907.65,3942,3823.15,3838.65,16276075,,,
2008-10-06 15:30:00,3740,3758,3603.7,3625.6,18731475,,,
2008-10-07 15:30:00,3690,3756.7,3552.75,3632.6,26501950,,,
2008-10-08 15:30:00,3505.35,3566,3352,3536.35,28499075,,,
2008-10-10 15:30:00,3280,3410,3216,3303.2,23986250,,,
2008-10-13 15:30:00,3390,3556,3377,3534.1,17443650,,,
2008-10-14 15:30:00,3633,3729.4,3510,3527.8,18310175,,,
2008-10-15 15:30:00,3451.15,3489.7,3328.6,3342.8,17969750,,,
2008-10-16 15:30:00,3148.65,3358.5,3101.1,3290,24882600,,,
2008-10-17 15:30:00,3311,3353,3050,3071.3,20049225,,,
2008-10-20 15:30:00,3121,3275.95,3067,3142.55,23646025,,,
2008-10-21 15:30:00,3189,3265,3122.55,3241.95,21363025,,,
2008-10-22 15:30:00,3186.25,3194.7,3045.6,3060.15,20639000,,,
2008-10-23 15:30:00,2911.25,3093.4,2905.5,2934.7,25419150,,,
